axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-3.25,-13.25,"2000-01-15T00:00:00",10.0,-3.6285550594329834,4.825796604156494,6.317400932312012
-3.25,-13.25,"2000-02-15T00:00:00",10.0,-3.6266133785247803,4.420492172241211,6.110266208648682
-3.25,-13.25,"2000-03-16T00:00:00",10.0,-3.8501617908477783,4.074847221374512,6.258130073547363
-3.25,-13.25,"2000-04-15T00:00:00",10.0,-4.607358455657959,4.056398868560791,6.766777038574219
-3.25,-13.25,"2000-05-15T00:00:00",10.0,-5.454666614532471,4.302872180938721,7.287187099456787
-3.25,-13.25,"2000-06-15T00:00:00",10.0,-4.934360027313232,3.7231040000915527,6.432389736175537
-3.25,-13.25,"2000-07-15T00:00:00",10.0,-4.468140125274658,3.501225471496582,5.847655773162842
-3.25,-13.25,"2000-08-15T00:00:00",10.0,-4.06039571762085,4.097593307495117,5.902233600616455
-3.25,-13.25,"2000-09-15T00:00:00",10.0,-4.151950836181641,4.725907802581787,6.424636363983154
-3.25,-13.25,"2000-10-15T00:00:00",10.0,-3.954103946685791,5.100943088531494,6.587700366973877
-3.25,-13.25,"2000-11-15T00:00:00",10.0,-4.620981216430664,5.376003265380859,7.2413249015808105
-3.25,-13.25,"2000-12-15T00:00:00",10.0,-4.175746917724609,5.208780765533447,6.8893046379089355
