axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
65.75,-25.5,"2000-01-15T00:00:00",10.0,-3.815577507019043,-2.7400243282318115,12.481524467468262
65.75,-25.5,"2000-02-15T00:00:00",10.0,-3.4668009281158447,-2.531130313873291,12.040497779846191
65.75,-25.5,"2000-03-16T00:00:00",10.0,-3.6247146129608154,-1.9290939569473267,11.716487884521484
65.75,-25.5,"2000-04-15T00:00:00",10.0,-4.108528137207031,-2.2936689853668213,9.62283706665039
65.75,-25.5,"2000-05-15T00:00:00",10.0,-2.905669927597046,-1.6729642152786255,8.139433860778809
65.75,-25.5,"2000-06-15T00:00:00",10.0,-2.326258659362793,-1.9815850257873535,7.05049467086792
65.75,-25.5,"2000-07-15T00:00:00",10.0,-1.6662825345993042,-1.4288506507873535,6.625589370727539
65.75,-25.5,"2000-08-15T00:00:00",10.0,-2.215243339538574,-1.3144623041152954,6.8136138916015625
65.75,-25.5,"2000-09-15T00:00:00",10.0,-2.9030511379241943,-2.1338772773742676,9.287576675415039
65.75,-25.5,"2000-10-15T00:00:00",10.0,-4.921631336212158,-4.864055156707764,10.963906288146973
65.75,-25.5,"2000-11-15T00:00:00",10.0,-4.007622241973877,-2.4395837783813477,10.923131942749023
65.75,-25.5,"2000-12-15T00:00:00",10.0,-4.561799049377441,-1.900474190711975,11.268184661865234
