axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
6.25,-22.5,"2000-01-15T00:00:00",10.0,-2.7483773231506348,-3.8947272300720215,5.603265762329102
6.25,-22.5,"2000-02-15T00:00:00",10.0,-2.1110775470733643,-4.041489124298096,5.098446369171143
6.25,-22.5,"2000-03-16T00:00:00",10.0,-1.3926881551742554,-4.529273986816406,5.058437824249268
6.25,-22.5,"2000-04-15T00:00:00",10.0,-1.2967578172683716,-4.769367694854736,5.256803512573242
6.25,-22.5,"2000-05-15T00:00:00",10.0,-1.4199519157409668,-3.997419834136963,5.279731750488281
6.25,-22.5,"2000-06-15T00:00:00",10.0,-0.8340821862220764,0.7840142846107483,5.583465576171875
6.25,-22.5,"2000-07-15T00:00:00",10.0,0.7187049984931946,5.185825824737549,7.007972717285156
6.25,-22.5,"2000-08-15T00:00:00",10.0,1.508408784866333,6.451915264129639,7.831114292144775
6.25,-22.5,"2000-09-15T00:00:00",10.0,1.7156628370285034,4.734207630157471,6.845993518829346
6.25,-22.5,"2000-10-15T00:00:00",10.0,-0.7161327600479126,1.6958614587783813,5.083070278167725
6.25,-22.5,"2000-11-15T00:00:00",10.0,-3.063929557800293,-1.0427433252334595,5.473213195800781
6.25,-22.5,"2000-12-15T00:00:00",10.0,-3.495511531829834,-2.760002374649048,5.638466835021973
