axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
11.25,-35.00000000000003,"2000-01-15T00:00:00",10.0,-7.145393371582031,-4.437510967254639,8.623732566833496
11.25,-35.00000000000003,"2000-02-15T00:00:00",10.0,-6.448068618774414,-5.089142322540283,8.357827186584473
11.25,-35.00000000000003,"2000-03-16T00:00:00",10.0,-5.9390034675598145,-4.878149032592773,7.831839084625244
11.25,-35.00000000000003,"2000-04-15T00:00:00",10.0,-5.893221855163574,-5.011622905731201,7.86857795715332
11.25,-35.00000000000003,"2000-05-15T00:00:00",10.0,-5.901675701141357,-4.838710784912109,7.738302230834961
11.25,-35.00000000000003,"2000-06-15T00:00:00",10.0,-5.556816577911377,-4.923062324523926,7.527740955352783
11.25,-35.00000000000003,"2000-07-15T00:00:00",10.0,-4.39240837097168,-3.745734453201294,6.355372428894043
11.25,-35.00000000000003,"2000-08-15T00:00:00",10.0,-1.8618890047073364,-2.505690574645996,5.977073669433594
11.25,-35.00000000000003,"2000-09-15T00:00:00",10.0,-3.1411688327789307,-2.389518976211548,5.847609043121338
11.25,-35.00000000000003,"2000-10-15T00:00:00",10.0,-5.706129550933838,-2.8553292751312256,7.069386005401611
11.25,-35.00000000000003,"2000-11-15T00:00:00",10.0,-6.802610397338867,-2.9482545852661133,7.8036789894104
11.25,-35.00000000000003,"2000-12-15T00:00:00",10.0,-6.988430976867676,-3.701378583908081,8.287038803100586
