axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
16.0,-52.49999999999997,"2000-01-15T00:00:00",10.0,-7.757995128631592,-2.716735363006592,8.57242488861084
16.0,-52.49999999999997,"2000-02-15T00:00:00",10.0,-7.389166355133057,-2.5047457218170166,8.457630157470703
16.0,-52.49999999999997,"2000-03-16T00:00:00",10.0,-6.686744689941406,-1.9345614910125732,7.557325839996338
16.0,-52.49999999999997,"2000-04-15T00:00:00",10.0,-6.890619277954102,-1.2515263557434082,7.491697788238525
16.0,-52.49999999999997,"2000-05-15T00:00:00",10.0,-7.0481157302856445,-1.112156867980957,7.5099639892578125
16.0,-52.49999999999997,"2000-06-15T00:00:00",10.0,-8.077150344848633,-1.5586837530136108,8.397454261779785
16.0,-52.49999999999997,"2000-07-15T00:00:00",10.0,-8.104045867919922,-2.0597620010375977,8.525495529174805
16.0,-52.49999999999997,"2000-08-15T00:00:00",10.0,-6.7009735107421875,-1.7693058252334595,7.500709056854248
16.0,-52.49999999999997,"2000-09-15T00:00:00",10.0,-5.803646564483643,-0.7308602929115295,6.930427074432373
16.0,-52.49999999999997,"2000-10-15T00:00:00",10.0,-6.1422014236450195,-0.3566485345363617,6.883422374725342
16.0,-52.49999999999997,"2000-11-15T00:00:00",10.0,-5.626004219055176,-0.6876755356788635,6.910716533660889
16.0,-52.49999999999997,"2000-12-15T00:00:00",10.0,-6.900464057922363,-2.245706796646118,7.851917743682861
