axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
13.25,-34.25,"2000-01-15T00:00:00",10.0,-7.1776275634765625,-4.148894786834717,8.513901710510254
13.25,-34.25,"2000-02-15T00:00:00",10.0,-6.476370334625244,-4.776422023773193,8.241545677185059
13.25,-34.25,"2000-03-16T00:00:00",10.0,-5.999876499176025,-4.524209976196289,7.686316967010498
13.25,-34.25,"2000-04-15T00:00:00",10.0,-5.981332302093506,-4.665771961212158,7.735189437866211
13.25,-34.25,"2000-05-15T00:00:00",10.0,-5.9104084968566895,-4.601977825164795,7.5899200439453125
13.25,-34.25,"2000-06-15T00:00:00",10.0,-5.623653888702393,-4.71864652633667,7.426163196563721
13.25,-34.25,"2000-07-15T00:00:00",10.0,-5.097930908203125,-4.275275707244873,6.841937065124512
13.25,-34.25,"2000-08-15T00:00:00",10.0,-3.8164823055267334,-3.5862815380096436,6.286053657531738
13.25,-34.25,"2000-09-15T00:00:00",10.0,-4.896426677703857,-3.089022636413574,6.713111400604248
13.25,-34.25,"2000-10-15T00:00:00",10.0,-6.01835298538208,-3.174873113632202,7.313232898712158
13.25,-34.25,"2000-11-15T00:00:00",10.0,-6.451189994812012,-2.76223087310791,7.465758800506592
13.25,-34.25,"2000-12-15T00:00:00",10.0,-6.810855388641357,-3.4703614711761475,7.99355936050415
