axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
13.5,-26.0,"2000-01-15T00:00:00",10.0,-5.107000350952148,-4.93679666519165,7.322483539581299
13.5,-26.0,"2000-02-15T00:00:00",10.0,-4.642857074737549,-5.156703948974609,7.109028339385986
13.5,-26.0,"2000-03-16T00:00:00",10.0,-3.9489221572875977,-5.181851863861084,6.688876152038574
13.5,-26.0,"2000-04-15T00:00:00",10.0,-3.9208314418792725,-5.310734272003174,6.7096099853515625
13.5,-26.0,"2000-05-15T00:00:00",10.0,-3.64309024810791,-4.855684280395508,6.189274311065674
13.5,-26.0,"2000-06-15T00:00:00",10.0,-3.0399231910705566,-4.187726020812988,5.341100692749023
13.5,-26.0,"2000-07-15T00:00:00",10.0,-2.6472065448760986,-3.5478553771972656,5.112256050109863
13.5,-26.0,"2000-08-15T00:00:00",10.0,-1.8686344623565674,-2.796867847442627,5.328054904937744
13.5,-26.0,"2000-09-15T00:00:00",10.0,-3.422670841217041,-2.8271429538726807,5.73223352432251
13.5,-26.0,"2000-10-15T00:00:00",10.0,-4.200567245483398,-3.6161279678344727,5.928140163421631
13.5,-26.0,"2000-11-15T00:00:00",10.0,-4.5873026847839355,-3.8586504459381104,6.239480495452881
13.5,-26.0,"2000-12-15T00:00:00",10.0,-5.188074111938477,-4.276843070983887,6.933221817016602
