axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
16.0,-41.0,"2000-01-15T00:00:00",10.0,-7.642361640930176,-2.9473938941955566,8.567770957946777
16.0,-41.0,"2000-02-15T00:00:00",10.0,-7.279803276062012,-3.024310827255249,8.433391571044922
16.0,-41.0,"2000-03-16T00:00:00",10.0,-6.639867782592773,-2.717581272125244,7.525051593780518
16.0,-41.0,"2000-04-15T00:00:00",10.0,-6.835911750793457,-2.6377756595611572,7.631611347198486
16.0,-41.0,"2000-05-15T00:00:00",10.0,-6.908723831176758,-2.638684034347534,7.555527210235596
16.0,-41.0,"2000-06-15T00:00:00",10.0,-7.114220142364502,-3.223335027694702,7.9120683670043945
16.0,-41.0,"2000-07-15T00:00:00",10.0,-6.813372611999512,-3.423159599304199,7.76240873336792
16.0,-41.0,"2000-08-15T00:00:00",10.0,-6.307308673858643,-3.0255842208862305,7.474248886108398
16.0,-41.0,"2000-09-15T00:00:00",10.0,-6.484711170196533,-2.2771224975585938,7.482850551605225
16.0,-41.0,"2000-10-15T00:00:00",10.0,-6.368802070617676,-1.4870753288269043,7.116819858551025
16.0,-41.0,"2000-11-15T00:00:00",10.0,-5.903326034545898,-0.9770839810371399,7.016618728637695
16.0,-41.0,"2000-12-15T00:00:00",10.0,-6.625116348266602,-1.9827197790145874,7.786043167114258
