axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
24.5,-20.74999999999997,"2000-01-15T00:00:00",10.0,-4.718541145324707,-3.3412115573883057,7.693203449249268
24.5,-20.74999999999997,"2000-02-15T00:00:00",10.0,-4.761816024780273,-3.8154351711273193,7.980391025543213
24.5,-20.74999999999997,"2000-03-16T00:00:00",10.0,-2.499340772628784,-4.054876327514648,6.881704807281494
24.5,-20.74999999999997,"2000-04-15T00:00:00",10.0,-2.870781183242798,-5.440708637237549,7.14445161819458
24.5,-20.74999999999997,"2000-05-15T00:00:00",10.0,-3.0970458984375,-5.293210983276367,6.742930889129639
24.5,-20.74999999999997,"2000-06-15T00:00:00",10.0,-3.416691780090332,-5.9680562019348145,7.116302490234375
24.5,-20.74999999999997,"2000-07-15T00:00:00",10.0,-3.849090576171875,-6.15031623840332,7.412712574005127
24.5,-20.74999999999997,"2000-08-15T00:00:00",10.0,-4.063380241394043,-5.660505294799805,7.158563613891602
24.5,-20.74999999999997,"2000-09-15T00:00:00",10.0,-4.441969394683838,-4.954056739807129,6.96078634262085
24.5,-20.74999999999997,"2000-10-15T00:00:00",10.0,-3.3862531185150146,-3.8389739990234375,6.066493511199951
24.5,-20.74999999999997,"2000-11-15T00:00:00",10.0,-4.391383647918701,-3.3401999473571777,6.956261157989502
24.5,-20.74999999999997,"2000-12-15T00:00:00",10.0,-3.432967185974121,-2.2572574615478516,6.775622367858887
